Số nhị phân là gì?;;;Câu trả lời đúng là: Các số 1 và 0.
Trong MS Excel, muốn nhập dữ liệu số với những số 0 phía trước mỗi số. Ví dụ 0912 hay 0011, thực hiện:;;;Câu trả lời đúng là: Nhập dấu nháy đơn (') trước khi nhập số
Trong MS Excel, công thức nào sau đây cho phép lấy ra chuỗi "Da Lat" từ chuỗi ký tự "Da Lat Thanh Pho Hoa";;;Câu trả lời đúng là: =Left("Da Lat Thanh Pho Hoa",6)
Trong MS Excel 2016, để định dạng canh Trái (Left) cho nội dung, thực hiện:;;;Câu trả lời đúng là: Vào menu Home.
Một công thức trong MS Excel luôn bắt đầu bằng dấu nào sau đây?;;;Câu trả lời đúng là: =
Trong MS Excel, tại ô A1 có giá trị 6, biểu thức sau cho kết quả là gì? =If(A1>=5, "Đỗ", "Trượt");;;Câu trả lời đúng là: Đỗ
Trong MS Excel 2016, để định dạng Màu nền (Fill Color) cho bảng tính, thực hiện:;;;Câu trả lời đúng là: Vào menu Home.
Trong MS Excel, tại ô A2 có giá trị 0 (số không); Tại ô B2 gõ vào công thức =5/A2 thì nhận được kết quả:;;;Câu trả lời đúng là: #DIV/0!
Trong MS Excel, để thực hiện phép toán Nhân thì sử dụng kí hiệu nào sau đây?;;;Câu trả lời đúng là: *
Trong MS Excel, phím tắt nào sau đây sẽ xuống một dòng ngay trong cùng một ô?;;;Câu trả lời đúng là: Alt + Enter
Trong MS Excel, để lựa chọn các vùng không liền kề nhau cần sử dụng chuột kết hợp với phím nào?;;;Câu trả lời đúng là: Ctrl
Trong MS Excel 2016, để có định dạng kiểu Ngăn cách hàng nghìn (Ví dụ: 2.000.000) cho bảng tính, thực hiện:;;;Câu trả lời đúng là: Vào menu Home.
Trong MS Excel 2016, để phóng to hoặc thu nhỏ (Zoom) nội dung trong tài liệu, thực hiện;;;Câu trả lời đúng là: Vào menu View, chọn Zoom
Trong MS Excel 2016, để Chèn tiêu đề (Header & Footer) vào bảng tính thực hiện:;;;Câu trả lời đúng là: Vào menu Insert, chọn Header.
Trong MS Excel 2016, để lưu một tệp trước đó với một Tên khác, ta có thể;;;Câu trả lời đúng là: Vào menu File, chọn Save As
Trong MS Excel, hàm nào sau đây cho biết chiều dài của chuổi ký tự?;;;Câu trả lời đúng là: Len
Trong MS Word 2016, muốn Thay đổi lề (Margins). Ví dụ: Thay đổi lề trái, phải, trên, dưới, theo mẫu cho trang in, thực hiện:;;;Câu trả lời đúng là: Vào menu Page Layout, chọn Margins và chọn theo mẫu tương ứng
Trong MS Excel, tại ô A2 có giá trị là chuỗi TINHOC. Tại ô B2 gõ công thức =LEN(A2) thì nhận được kết quả:;;;Câu trả lời đúng là: 6
﻿Trong MS Excel 2016, để cài Mật khẩu cho tệp hiện thời:;;;Câu trả lời đúng là: Vào menu File | Info | Protect Workbook | Encrypt with Password
Trong MS Excel, hàm nào sau đây lấy Phần nguyên của một số?;;;Câu trả lời đúng là: Int
Trong MS Excel 2016, để Chèn ký tự đặc biệt (Symbol) vào bảng tính thực hiện:;;;Câu trả lời đúng là: Vào menu Insert, chọn Symbol.
Trong MS Excel 2016, để Chèn một biểu thức tính toán (Equation) vào bảng tính thực hiện:;;;Câu trả lời đúng là: Vào menu Insert, chọn Equation.
Trong MS Excel, tổ hợp phím được dùng để hiển thị hộp thoại Format?;;;Câu trả lời đúng là: Ctrl + 1
Trong MS Excel, để thực hiện phép toán Chia thì sử dụng kí hiệu nào sau đây?;;;Câu trả lời đúng là: /
Trong MS Excel, tổ hợp phím được dùng để Đóng bảng tính đang mở?;;;Câu trả lời đúng là: Ctrl + W
Trong MS Excel, giả sử tại ô C2 trong bảng chứa giá trị 3.124567 và tại ô C4 có công thức là =round(C2). Giá trị của C4 sẽ là;;;Câu trả lời đúng là: Công thức không đúng
Trong MS Excel 2016, muốn Sắp xếp (Sort) cho Dữ liệu sau khi đã chọn phần dữ liệu thì thực hiện:;;;Câu trả lời đúng là: Vào menu Data, chọn Sort và chọn kiểu sắp xếp
Trong MS Excel, tổ hợp phím nào sau đây cho phép ngay lập tức đưa con trỏ về ô Cuối của bảng tính?;;;Câu trả lời đúng là: Ctrl + End
Trong MS Excel 2016, hộp định dạng kiểu số (Number) nằm trên menu nào?;;;Câu trả lời đúng là: Vào menu Home.
Trong MS Excel, chuỗi nào sau đây là kết quả của công thức: =Proper("Tin học"):;;;Câu trả lời đúng là: Tin Học
Trong MS Excel, muốn tính trung bình của hàng hay cột, sử dụng hàm nào trong số các hàm dưới đây?;;;Câu trả lời đúng là: Hàm Average()
Trong MS Excel 2016, trong khi Định dạng bảng tính muốn xóa hẳn một hàng ra khỏi trang tính, đánh dấu khối chọn hàng này và thực hiện:;;;Câu trả lời đúng là: Vào menu Home, chọn Delete, sau đó chọn Delete Rows.
Trong MS Excel, công thức nào sau đây cho phép lấy ra chuỗi "Thanh Pho" từ chuỗi ký tự "Da Lat Thanh Pho Hoa";;;Câu trả lời đúng là: =Mid("Da Lat Thanh Pho Hoa",8,9)
Trong MS Excel, khi vào menu Home, chọn thẻ Borders có tác dụng gì?;;;Câu trả lời đúng là: Tạo khung viền cho bảng tính cần chọn
Trong MS Excel, địa chỉ B$3 là địa chỉ:;;;Câu trả lời đúng là: Hỗn hợp
Trong MS Excel, muốn Sắp xếp (Sort) danh sách Dữ liệu theo thứ tự tăng (giảm) thực hiện:;;;Câu trả lời đúng là: Vào menu Data, chọn Sort
Trong MS Excel, nhấn tổ hợp phím nào sẽ thực hiện Cắt (Cut) dữ liệu của ô được chọn vào bộ nhớ đệm?;;;Câu trả lời đúng là: Ctrl + X
Trong MS Excel, cho biết kết quả của hàm =ROUND(5234,-2);;;Câu trả lời đúng là: 5200
Trong MS Excel, khối ô là tập hợp nhiều ô kế cận tạo thành hình chữ nhật. Địa chỉ khối ô được thể hiện như câu nào sau đây là đúng?;;;Câu trả lời đúng là: B1:H15
Trong MS Excel, giả sử tại ô B3 gõ như sau: =today() kết quả là;;;Câu trả lời đúng là: Hiển thị ngày hiện tại
Trong MS Excel 2016, tổ hợp phím nào sau đây cho phép ngay lập tức đưa con trỏ về ô Đầu tiên (ô A1) của bảng tính?;;;Câu trả lời đúng là: Ctrl + Home
Trong MS Excel, để tính tổng các ô từ A1 đến A7, công thức nào dưới đây là ĐÚNG?;;;Câu trả lời đúng là: =SUM(A1:A7)
Trong MS Excel 2016,  khi muốn Tệp được lưu vào thư mục mặc định. Thao tác nào sau đây để thiết lập thư mục lưu trữ mặc định;;;Câu trả lời đúng là: Vào menu File | Option | Save | Default local file location…
Trong MS Excel 2016, muốn Thay đổi lề (Margins). Ví dụ: Thay đổi lề trái, phải, trên, dưới, hướng giấy,… cho trang in, thực hiện:;;;Câu trả lời đúng là: Vào menu Page Layout, chọn Page Setup, sau đó chọn tab là Margins
Trong MS Excel, biểu thức sau cho kết quả là bao nhiêu? =YEAR("15-Apr-1998");;;Câu trả lời đúng là: 1988
Trong MS Excel, hàm SUM dùng để?;;;Câu trả lời đúng là: Tính tổng các giá trị được chọn
Trong Ms Excel, muốn ẩn hoặc hiện thanh công cụ Ribbon, người sử dụng dùng tổ hợp phím nào?;;;Câu trả lời đúng là: Ctrl + F1
Trong  Powerpoint 2016, để Chèn một sơ đồ tổ chức (SmartArt) vào tài liệu thực hiện:;;;Câu trả lời đúng là: Vào menu Insert, chọn SmartArt.
Trong Powerpoint 2016, để In tệp thực hiện:;;;Câu trả lời đúng là: Vào menu File, chọn Print
Khi kể một câu chuyện, nếu bạn nói theo kiểu ứng biến và tùy hứng, người đọc sẽ thấy nó tự nhiên và dễ tiếp nhận hơn. Đúng hay sai?;;;Câu trả lời đúng là: Đúng
Trong Powerpoint, để chọn Toàn bộ đối tượng thì nhấn tổ hợp phím nào?;;;Câu trả lời đúng là: Ctrl + A
Trong Powerpoint 2016, để Chèn chữ nghệ thuật (WordArt) vào tài liệu thực hiện:;;;Câu trả lời đúng là: Vào menu Insert, chọn WordArt.
Trong Powerpoint, sau khi sử dụng chức năng phục hồi (Ctrl + Z), để quay lại bước trước khi nhấn Undo dùng tổ hợp phím:;;;Câu trả lời đúng là: Ctrl + Y
3-5 vấn đề trong phần thân bài là một con số lý tưởng để có thể phát triển nội dung bài, vừa tránh được sự sơ sài khi quá ít vấn đề lại tránh được sự lan man nếu đưa ra nhiều vấn đề. Đúng hay sai?;;;Câu trả lời đúng là: Đúng
Trong Powerpoint 2016, để Chèn một biểu đồ (Chart) vào tài liệu thực hiện:;;;Câu trả lời đúng là: Vào menu Insert, chọn Chart.
Trong Powerpoint, đang trình chiếu một bài trình diễn, muốn dừng trình diễn thực hiện thao tác nhấn phím:;;;Câu trả lời đúng là: ESC.
Trong Powerpoint 2016, để Chèn chú thích (Comment) vào tài liệu thực hiện:;;;Câu trả lời đúng là: Vào menu Insert, chọn Comment.
Trong Powerpoint, muốn định dạng kiểu chữ Gạch chân, nhấn tổ hợp phím nào để thực hiện điều này?;;;Câu trả lời đúng là: Ctrl + U
Trong Powerpoint, để lưu một tệp trước đó với một Tên khác, thực hiện nhấn phím:;;;Câu trả lời đúng là: F12
Trong Powerpoint 2016, để Thay đổi màu nền cho Slide, thực hiện:;;;Câu trả lời đúng là: Vào menu Design, chọn Format Background
Trong Powerpoint 2016, để định dạng Phông chữ (Font) cho nội dung, thực hiện:;;;Câu trả lời đúng là: Vào menu Home.
Trong Powerpoint, sau khi đã chèn một bảng vào slide, muốn chia ô hiện tại thành 2 ô, thực hiện thao tác:;;;Câu trả lời đúng là: Nhấn chuột phải và chọn Split Cells…
Trong Powerpoint, sau khi đã chọn một số đối tượng trên slide hiện hành, nhấn tổ hợp phím nào sau đây sẽ Sao chép (Copy) các đối tượng đó vào bộ nhớ đệm?;;;Câu trả lời đúng là: Ctrl + C
Trong Powerpoint 2016, trong khi Định dạng để thêm mới một Slide (New Slide), thực hiện:;;;Câu trả lời đúng là: Vào menu Home | New Slide
Trong Powerpoint 2016, để định dạng Vị trí (Align Text) cho nội dung ở phía trên hoặc phía dưới hoặc giữa, thực hiện:;;;Câu trả lời đúng là: Vào menu Home | Align Text
Trong Powerpoint 2016, để hiển thị thước (Ruler) trong tài liệu, thực hiện;;;Câu trả lời đúng là: Vào menu View, chọn Zoom
Trong Powerpoint 2016, hộp định dạng Font nằm trên menu nào?;;;Câu trả lời đúng là: Vào menu Home.
Làm Silde với các mẫu PowerPoint sẵn có sẽ làm khán giả thấy nhàm chán, đơn điệu. Đúng hay sai?;;;Câu trả lời đúng là: Đúng
Trong Powerpoint 2016, để định dạng Cỡ chữ (Size) cho nội dung, thực hiện:;;;Câu trả lời đúng là: Vào menu Home.
Trong Powerpoint 2016, để định dạng Màu chữ (Font Color) cho nội dung, thực hiện:;;;Câu trả lời đúng là: Vào menu Home.
Bài thuyết trình được chuẩn bị chu đáo bạn sẽ không bị động và giảm được mức độ sợ hãu khi đứng trước đám đông. Đúng hay sai?;;;Câu trả lời đúng là: Đúng
Trong Powerpoint, đánh dấu một đoạn văn bản sau đó nhấn tổ hợp phím Ctrl + L, thao tác này tương ứng với lựa chọn nào sau đây?;;;Câu trả lời đúng là: Canh trái đoạn văn được chọn.
Hãy chọn đáp án saiĐể việc thuyết trình bán hàng được thành công, bạn nên lưu ý những nguyên tắc nào dưới đây:;;;Câu trả lời đúng là: Không cần chú ý tới trang phục
Trong Powerpoint, tổ hợp phím nào để Xem trước khi in?;;;Câu trả lời đúng là: Ctrl + F2
Đối với Silde thuyết trình, bạn nên làm với các mẫu PowerPoint sẵn có cho đơn giản. Đúng hay sai?;;;Câu trả lời đúng là: Sai
Trong Powerpoint 2016, để định dạng Xoay chữ (Text Direction) cho nội dung, thực hiện:;;;Câu trả lời đúng là: Vào menu Home | Text Direction
Trong Powerpoint, để tạo mới một bài thuyết trình thực hiện nhấn tố hợp phím:;;;Câu trả lời đúng là: Ctrl + N
Đối với hình thức thuyết trình theo nhóm, việc phối hợp ăn ý giữa các thành viên với nhau cả trong quá trình chuẩn bị và tiên hành thuyết trình là cần thiết nhất. Đúng hay sai?;;;Câu trả lời đúng là: Đúng
Trong Powerpoint, tự thấy qua một số các thao tác đều không đạt yêu cầu (sai nhiều) cần phải trở lại trước đó (phục hồi: undo) ta sử dụng tổ hợp phím nào sau đây là tốt nhất?;;;Câu trả lời đúng là: Ctrl + Z
Hãy chọn đáp án đúng để điền vào chỗ trống “……” để hiểu hơn về các phương pháp phát triển vấn đề trong thân bài của một bài thuyết trình.Băt đầu từ việc phân tích hiện trạng của vấn đề nghiên cứu, đánh giá điểm mạnh, yếu, tìm nguyên nhân, trên cơ sở đó đề xuất các giải pháp phát huy điểm mạnh, khắc phục điểm yếu. Đó là ……;;;Câu trả lời đúng là: Phương pháp theo nguyên nhân và kết quả
Trong Powerpoint 2016, nút lệnh Screenshot có chức năng?;;;Câu trả lời đúng là: Chụp ảnh các chương trình đang chạy để chèn vào Slide
Trong Powerpoint 2016, để Xóa một chú thích (Delete Comment) trong Slide. Chọn comment cần xóa và thực hiện:;;;Câu trả lời đúng là: Vào menu Review, chọn Delete
Trong Powerpoint 2016, để cài Mật khẩu cho Tệp hiện thời:;;;Câu trả lời đúng là: Vào menu File | Info | Protect Presentation | Encrypt with Password
Trong Powerpoint 2016,  khi muốn Tệp được lưu vào thư mục mặc định. Thao tác nào sau đây để thiết lập thư mục lưu trữ mặc định;;;Câu trả lời đúng là: Vào menu File | Option | Save | Default local file location…
Trong Powerpoint, sau khi đã chọn một số đối tượng trên slide hiện hành, nhấn tổ hợp phím nào sau đây sẽ Cắt (Cut) các đối tượng đó vào bộ nhớ đệm?;;;Câu trả lời đúng là: Ctrl + X
Trong Powerpoint, để thêm một Silde mới nhấn tổ hợp phím nào sau đây?;;;Câu trả lời đúng là: Ctrl + M
﻿Hãy chọn đáp án thích hợp điền vào chỗ trống “……” để hoàn thành khái niệm về thuyết trình.“Thuyết trình là một cách truyền đạt những …... tới một nhóm người, là phương pháp trình bày bẳng lời trước nhiều người về một vấn đề nào đó nhằm cung cấp thông tin hoặc thuyết phục, gây ảnh hưởng đến người nghe.”;;;Câu trả lời đúng là: ý tưởng và các thông tin
Trong Powerpoint, khi đang trình chiếu (Slide Show) một bài trình diễn, muốn chuyển sang màn hình của một chương trình ứng dụng khác (đã mở trước) để minh họa mà không kết thúc việc trình chiếu, người sử dụng phải thực hiện nhấn phím;;;Câu trả lời đúng là: Alt + Tab
Trong Powerpoint 2016, hộp định dạng Paragraph nằm trên menu nào?;;;Câu trả lời đúng là: Vào menu Home.
Trong Powerpoint, đánh dấu một đoạn văn bản sau đó nhấn tổ hợp phím Ctrl + R, thao tác này tương ứng với lựa chọn nào sau đây?;;;Câu trả lời đúng là: Canh phải đoạn văn được chọn.
Trong Powerpoint, khi đang trình chiếu (Slide Show) một bài trình diễn, muốn mở một chương trình ứng dụng khác (đã có trong menu programs) để minh hoạ mà không phải kết thúc việc trình chiếu người sử dụng thực hiện:;;;Câu trả lời đúng là: Nhắp chuột vào Start | vào Programs chọn ứng dụng.
Trong Powerpoint, vào menu File, chọn Open là để làm gì?;;;Câu trả lời đúng là: Mở một presentation đã có trên đĩa
Trong Powerpoint, đánh dấu một đoạn văn bản sau đó nhấn tổ hợp phím Ctrl + E, thao tác này tương ứng với lựa chọn nào sau đây?;;;Câu trả lời đúng là: Canh giữa đoạn văn được chọn.
Trong Powerpoint 2016, để Chèn ngày hoặc giờ (Date & Time) vào tài liệu thực hiện:;;;Câu trả lời đúng là: Vào menu Insert, chọn Date & Time.
Trong Powerpoint, tổ hợp phím được sử dụng để Bật hoặc Tắt chế độ khung lưới khi soạn thảo:;;;Câu trả lời đúng là: Shift + F9
Trong Powerpoint, để bắt đầu trình chiếu từ Silde đang chọn, dùng tổ hợp phím:;;;Câu trả lời đúng là: Shift + F5
Trong Powerpoint, tổ hợp phím Ctrl + N dùng để:;;;Câu trả lời đúng là: Tạo Presentation mới
Hãy chọn đáp án đúng để điền vào chỗ trống “……” để hiểu hơn về các phương pháp phát triển vấn đề trong thân bài của một bài thuyết trình.Khi trình bày những vấn đề liên quan đến không gian rộng lớn, bạn có thể sắp xếp theo trình tự toàn cầu, khu vực, châu lục, vùng miền…Đó là ……;;;Câu trả lời đúng là: Phương pháp sắp xếp theo không gian
Trong Powerpoint 2016, để Thêm một chú thích (New Comment) trong Slide, thực hiện;;;Câu trả lời đúng là: Vào menu Review, chọn New Comment
Hãy chọn đáp án đúng để điền vào chỗ trống “……” để hiểu hơn về các phương pháp phát triển vấn đề trong thân bài của một bài thuyết trình.Để rõ sự giống nhau hoặc khác nhau giữa các vấn đề, các sự việc. Vấn đề là phải tìm ra các đối tượng và các tiêu chí để so sánh. Đó là ……;;;Câu trả lời đúng là: Phương pháp so sánh và đối chiếu
Trong Powerpoint 2016, để thực hiện Chèn bảng biểu (Table) vào slide thực hiện:;;;Câu trả lời đúng là: Vào menu Insert, chọn Table
Hãy chọn đáp án saiĐể việc thuyết trình bán hàng được thành công, bạn nên lưu ý những nguyên tắc nào dưới đây:;;;Câu trả lời đúng là: Chỉ cần quan tâm mình nói gì
Trong Powerpoint 2016, để Chèn hình ảnh (Picture) vào một Slide thực hiện:;;;Câu trả lời đúng là: Vào menu Insert, chọn Picture|
Trong Powerpoint, tổ hợp phím nào dưới đây thực hiện việc Chèn một liên kết?;;;Câu trả lời đúng là: Ctrl + K
Trong Powerpoint, tổ hợp phím được dùng để Lưu (Save) bài trình chiếu?;;;Câu trả lời đúng là: Ctrl + S
Trong Powerpoint 2016, để Lưu tệp thực hiện:;;;Câu trả lời đúng là: Vào menu File, chọn Save
Trong Powerpoint, khi đã chọn đoạn văn bản và muốn đoạn đó có định dạng canh trái (Left). Nhấn tổ hợp phím nào để thực hiện điều này?;;;Câu trả lời đúng là: Ctrl + L
Trong Powerpoint, khi thoát khỏi PowerPoint nếu người sử dụng chưa lưu lại tệp thì máy sẽ hiện một thông báo. Để lưu lại tệp này ta sẽ kích chuột trái vào nút nào trong bảng thông báo này?;;;Câu trả lời đúng là: Nút Save
Trong Powerpoint, để chuyển đoạn văn bản được chọn sang chữ in hoa, dùng tổ hợp phím:;;;Câu trả lời đúng là: Shift + F3
Hãy chọn đáp án đúng để điền vào chỗ trống “……” để hiểu hơn về các phương pháp phát triển vấn đề trong thân bài của một bài thuyết trình.Sử dụng cách kể chuyện theo thời gian, lịch sử hình thành một vấn đề, một công ty, một phát minh…với những cột mốc thời gian xảy ra những sự kiện nhớ, cho đến thời điểm hiện tại. Đó là ……;;;Câu trả lời đúng là: Phương pháp theo trình tự thời gian
Trong Powerpoint, tổ hợp phím nào dùng để ra lệnh in?;;;Câu trả lời đúng là: Ctrl + P
Trong Powerpoint 2016, để phóng to hoặc thu nhỏ (Zoom) nội dung trong tài liệu, thực hiện;;;Câu trả lời đúng là: Vào menu View, chọn Zoom
Trong Powerpoint 2016, để Tạo mới văn bản thực hiện:;;;Câu trả lời đúng là: Vào menu File, chọn New
Trong Powerpoint, khi đã chọn đoạn văn bản và muốn đoạn đó có định dạng canh phải (Right). Nhấn tổ hợp phím nào để thực hiện điều này?;;;Câu trả lời đúng là: Ctrl + R
Trong Powerpoint 2016, để định dạng canh Bằng hai bên (Justify) cho nội dung, thực hiện:;;;Câu trả lời đúng là: Vào menu Home.
Trong Powerpoint 2016, để Chèn Video từ máy tính (Video on My PC) vào Slide thực hiện thao tác:;;;Câu trả lời đúng là: Vào menu Insert, chọn Video và chọn Video on My PC
Bài thuyết trình càng được chuẩn bị chi đáo thì càng tăng sức thuyết phục. Đúng hay sai?;;;Câu trả lời đúng là: Đúng
Trong Powerpoint 2016, để Lưu một tệp trước đó với một tên khác, ta có thể;;;Câu trả lời đúng là: Vào menu File, chọn Save As
Trong Powerpoint, để Trình diễn Slide thực hiện thao tác nhấn phím:;;;Câu trả lời đúng là: F5
Trong Powerpoint 2016, để Đóng tệp thực hiện:;;;Câu trả lời đúng là: Vào menu File, chọn Close
Trong Powerpoint 2016, để Chèn liên kết (Hyperlink) vào tài liệu thực hiện:;;;Câu trả lời đúng là: Vào menu Insert, chọn Hyperlink.
Chọn đáp án sai.Giai đoạn chuẩn bị thuyết trình cần tuân thủ theo một quy trình gọi là quy trình TOPP, bao gồm:;;;Câu trả lời đúng là: Chuẩn bị phương tiện hỗ trợ
Trong Powerpoint, để thêm một slide giống slide hiện tại sử dụng dùng tổ hợp phím lệnh nào sau đây?;;;Câu trả lời đúng là: Ctrl + D
Trong Powerpoint 2016, để Chèn hình vẽ (Shapes) vào tài liệu thực hiện:;;;Câu trả lời đúng là: Vào menu Insert, chọn Shapes.
Trong Powerpoint 2016, để Chèn âm thanh từ máy tính (Audio on My PC) vào Slide thực hiện thao tác:;;;Câu trả lời đúng là: Vào menu Insert, chọn Audio và chọn Audio on My PC
Trong Powerpoint, muốn Phục hồi (Undo) thao tác vừa thực hiện thì bấm tổ hợp phím:;;;Câu trả lời đúng là: Ctrl + Z
Trong PowerPoint 2016, chọn phát biểu ĐÚNG trong các phát biểu dưới đây:;;;Câu trả lời đúng là: Cho phép lưu các Slide thành tệp định dạng văn bản điện tử PDF.
Trong Powerpoint, nhấn tổ hợp phím nào sẽ thực hiện Dán (Paste) đoạn văn bản từ bộ nhớ đệm vào sau vị trí con trỏ?;;;Câu trả lời đúng là: Ctrl + V
Trong Powerpoint 2016, để định dạng canh Trái (Left) cho nội dung, thực hiện:;;;Câu trả lời đúng là: Vào menu Home.
Trong PowerPoint, chức năng Animation dùng để làm gì?;;;Câu trả lời đúng là: Tạo hiệu ứng cho các đối tượng trên slide.
Trong Powerpoint 2016, tên một tệp thường có đuôi mở rộng là;;;Câu trả lời đúng là: PPTX
Trong Powerpoint 2016, để Chèn các nút lệnh như: nút trở về trang Slide đầu tiên thực hiện:;;;Câu trả lời đúng là: Vào menu Insert, chọn Shapes, chọn nhóm Action Button
Trong Powerpoint 2016, để Mở một tệp đã tồn tại trên đĩa, đầu tiên ta phải;;;Câu trả lời đúng là: Vào menu File, chọn Open
Khi thuyết trình trong buổi ra mắt sản phẩm mới, bạn không nên:;;;Câu trả lời đúng là: Dùng từ ngữ chuyên môn sâu
Trong Powerpoint 2016, để Chèn hộp văn bản (Textbox) vào tài liệu thực hiện:;;;Câu trả lời đúng là: Vào menu Insert, chọn Text Box.
Trong Powerpoint 2016, để định dạng canh Giữa (Center) cho nội dung, thực hiện:;;;Câu trả lời đúng là: Vào menu Home.
Trong Powerpoint 2016, để Chèn ký tự đặc biệt (Symbol) vào tài liệu thực hiện:;;;Câu trả lời đúng là: Vào menu Insert, chọn Symbol.
Thông thường, với một bài thuyết trình, bạn chỉ nên đưa ra 3-5 vấn đề chính trong phần thân bài. Đúng hay sai?;;;Câu trả lời đúng là: Đúng
Trong Powerpoint, Slide Master dùng để:;;;Câu trả lời đúng là: Lưu trữ thông tin về thiết kế kiểu dáng, màu sắc, font chữ, bố cục … cho các slide.
Trong Powerpoint 2016, để định dạng cỡ chữ, dạng chữ, in béo, in nghiêng, kiểu chữ... cho bảng tính, thực hiện:;;;Câu trả lời đúng là: Vào menu Home | Font
Chọn một đáp án đúng.Bạn và một nhóm 5 sinh viên được yêu cầu thực hiện một bài thuyết trình nhóm môn học “Vận tải và giao nhận trong ngoại thương”. Nhóm bạn quyết định cử bạn và một thành viên nữa sẽ trình bày đề tài đã nghiên cứu trước lớp. Theo bạn, để hoàn thành tốt phần thuyết trình nhóm này, ngoài khả năng của bản thân, bạn còn cần kỹ năng quan trọng nào nữa?;;;Câu trả lời đúng là: Sự phối hợp ăn ý
﻿Trong Powerpoint 2016, để Tạo hiệu ứng cho các đối tượng, thực hiện thao tác:;;;Câu trả lời đúng là: Vào menu Animations, chọn kiểu Animation tương ứng.
Trong Powerpoint 2016, để Thay đổi mẫu giao diện cho các slide thực hiện thao tác:;;;Câu trả lời đúng là: Vào menu Design, chọn mẫu...
﻿Trong Powerpoint 2016, để Chèn âm thanh khi thu âm (Record Audio) vào Slide thực hiện thao tác:;;;Câu trả lời đúng là: Vào menu Insert, chọn Audio và chọn Record Audio
Trong Powerpoint 2016, để định dạng kiểu chữ Gạch chân (Underline) cho nội dung, thực hiện:;;;Câu trả lời đúng là: Vào menu Home.
Trong Powerpoint, muốn định dạng kiểu chữ Nghiêng, nhấn tổ hợp phím nào để thực hiện điều này?;;;Câu trả lời đúng là: Ctrl + I
Trong Powerpoint, sau khi đã chèn một bảng vào slide, muốn xóa một cột bất kỳ phải:;;;Câu trả lời đúng là: Chọn cột cần xóa, nhấn chuột phải và chọn Delete Columns.
Trong Powerpoint, khi đã chọn đoạn văn bản và muốn đoạn đó có định dạng canh giữa (Centered). Nhấn tổ hợp phím nào để thực hiện điều này?;;;Câu trả lời đúng là: Ctrl + E
Hãy chọn đáp án đúngĐể việc thuyết trình bán hàng được thành công, bạn nên lưu ý những nguyên tắc nào dưới đây:;;;Câu trả lời đúng là: Tất cả các đáp án
Trong Powerpoint 2016, để định dạng kiểu chữ Đậm (Bold) cho nội dung,  thực hiện:;;;Câu trả lời đúng là: Vào menu Home.
Chọn đáp án sai.Giai đoạn chuẩn bị thuyết trình cần tuân thủ theo một quy trình gọi là quy trình TOPP, bao gồm:;;;Câu trả lời đúng là: Chuẩn bị các phương án dự phòng
Chọn đáp án đúngKhi kể một cấu chuyện hay một ví dụ thực tế, bạn nên chọn cách nói nào cho phù hợp nhất?;;;Câu trả lời đúng là: Nói ứng biến
Trong Powerpoint 2016, thao tác nào sau đây để tạo mới 1 Tệp trình diễn theo mẫu giao diện (Themes) của chương trình?;;;Câu trả lời đúng là: Vào menu File | New | Chọn mẫu | Create.
Trong Powerpoint 2016, để Hiển thị chế độ xem chú thích (Notes Page) thực hiện thao tác:;;;Câu trả lời đúng là: Vào menu View, chọn Notes Page.
Chọn đáp án đúng.Giai đoạn chuẩn bị thuyết trình cần tuân thủ theo một quy trình gọi là quy trình TOPP, bao gồm:;;;Câu trả lời đúng là: Phân tích khán/thính giả
Trong Powerpoint, tổ hợp phím được dùng để Mở (Open) một tệp đã tồn tại trên đĩa?;;;Câu trả lời đúng là: Ctrl + O
Trong Powerpoint 2016, thao tác nào sau đây để in Slide hiện tại từ Tệp trình diễn?;;;Câu trả lời đúng là: Vào menu File, chọn Print, sau đó chọn Print Current Slide
Trong Powerpoint 2016, để Hiển thị chế độ đọc (Reading View) thực hiện thao tác:;;;Câu trả lời đúng là: Vào menu View, chọn Reading View.
Trong Powerpoint 2016, hiệu ứng Animation trong trong tab Animations dùng để làm gì?;;;Câu trả lời đúng là: Định đạng hiệu ứng cho các đối tượng trên slide.
Trong Powerpoint, tổ hợp phím Ctrl + V thường được sử dụng để;;;Câu trả lời đúng là: Dán một đoạn văn bản từ Clipboard.
Quy trình làm thuyết trình 3S bao gồm yếu tố nào?;;;Câu trả lời đúng là: Tất cả các đáp án
Trong Powerpoint, tổ hợp phím được dùng để Đóng một trình chiếu đang mở?;;;Câu trả lời đúng là: Ctrl + F4
Trong Powerpoint 2016, để định dạng canh Phải (Right) cho nội dung, thực hiện:;;;Câu trả lời đúng là: Vào menu Home.
Trong Powerpoint, để chọn Nhiều đối tượng trên một Slide ta sử dụng thao tác nào sau đây?;;;Câu trả lời đúng là: Nhấn Shift + Kích nút trái chuột vào đối tượng cần chọn
Trong Powerpoint, tổ hợp phím được dùng để Đóng tài liệu đang mở?;;;Câu trả lời đúng là: Ctrl + W
Trong PowerPoint 2016, để Chèn thêm một Slide mới (New Slide), thực hiện:;;;Câu trả lời đúng là: Vào menu Insert, chọn New Slide
Quy tắc 3S bao gồm 3 yếu tố: Story-Một câu chuyện thuyết phục, Slides-Những Slide đơn giản, Speaker-Người thuyết trình thu hút. Đúng hay sai?;;;Câu trả lời đúng là: Đúng
